trial,trial_type,intended_slider_value,n_chopping_boards,n_counters,model_agents,model_model,model_recipe,model_seed,model_settings,timesteps,agent_pauses,agent_collisions,was_successful
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,17,agents=2-model=centralized_centralized-recipe=Salad,23,15,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,18,agents=2-model=centralized_centralized-recipe=Salad,23,15,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,19,agents=2-model=centralized_centralized-recipe=Salad,23,14,0,True
trial_03,cooks,12.5,1,9,2,centralized_centralized,Salad,20,agents=2-model=centralized_centralized-recipe=Salad,23,15,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,1,agents=1-model=greedy-recipe=Salad,23,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,2,agents=1-model=greedy-recipe=Salad,25,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,3,agents=1-model=greedy-recipe=Salad,25,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,4,agents=1-model=greedy-recipe=Salad,25,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,5,agents=1-model=greedy-recipe=Salad,23,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,6,agents=1-model=greedy-recipe=Salad,23,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,7,agents=1-model=greedy-recipe=Salad,25,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,8,agents=1-model=greedy-recipe=Salad,25,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,9,agents=1-model=greedy-recipe=Salad,23,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,10,agents=1-model=greedy-recipe=Salad,25,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,11,agents=1-model=greedy-recipe=Salad,25,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,12,agents=1-model=greedy-recipe=Salad,23,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,13,agents=1-model=greedy-recipe=Salad,23,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,14,agents=1-model=greedy-recipe=Salad,25,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,15,agents=1-model=greedy-recipe=Salad,25,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,16,agents=1-model=greedy-recipe=Salad,23,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,17,agents=1-model=greedy-recipe=Salad,23,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,18,agents=1-model=greedy-recipe=Salad,25,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,19,agents=1-model=greedy-recipe=Salad,23,0,0,True
trial_03,cooks,12.5,1,9,1,greedy,Salad,20,agents=1-model=greedy-recipe=Salad,23,0,0,True
trial_03,cooks,12.5,1,9,2,greedy_greedy,Salad,1,agents=2-model=greedy_greedy-recipe=Salad,77,27,1,True
trial_03,cooks,12.5,1,9,2,greedy_greedy,Salad,2,agents=2-model=greedy_greedy-recipe=Salad,42,18,1,True
trial_03,cooks,12.5,1,9,2,greedy_greedy,Salad,3,agents=2-model=greedy_greedy-recipe=Salad,31,10,4,True
trial_03,cooks,12.5,1,9,2,greedy_greedy,Salad,4,agents=2-model=greedy_greedy-recipe=Salad,35,11,0,True
trial_03,cooks,12.5,1,9,2,greedy_greedy,Salad,5,agents=2-model=greedy_greedy-recipe=Salad,48,19,2,True
